Date,Open,High,Low,Adj Close,Volume,Stock Name
06-01-2021,72.080002,72.209999,71.269997,71.865738,116900,DR.REDDY
07-01-2021,72.07,72.129997,71,71.09919,191700,DR.REDDY
08-01-2021,72.239998,72.389999,71.349998,71.427711,246700,DR.REDDY
11-01-2021,72.540001,73.330002,72.519997,72.75174,187200,DR.REDDY
12-01-2021,72.559998,72.650002,71.610001,71.726364,208700,DR.REDDY
13-01-2021,71.389999,71.940002,71.190002,71.437668,100600,DR.REDDY
14-01-2021,71.800003,72.580002,71.519997,71.686546,156700,DR.REDDY
15-01-2021,71.050003,71.440002,70.599998,70.740807,164000,DR.REDDY
19-01-2021,69.769997,70.370003,69.160004,69.327187,139300,DR.REDDY
20-01-2021,69.75,69.879997,69.269997,69.327187,117400,DR.REDDY
21-01-2021,69.230003,69.25,68.5,68.40136,71200,DR.REDDY
22-01-2021,68.349998,69.059998,68.339996,68.520828,132500,DR.REDDY
25-01-2021,69.57,69.650002,69.18,69.028534,104400,DR.REDDY
26-01-2021,69.349998,69.349998,68.449997,68.281898,224100,DR.REDDY
27-01-2021,66.879997,66.879997,65.68,65.464615,267300,DR.REDDY
28-01-2021,66.309998,66.779999,66.059998,65.763268,286200,DR.REDDY
29-01-2021,64.25,64.25,61.130001,61.004738,384700,DR.REDDY
01-02-2021,60.779999,60.779999,58.369999,58.904213,356400,DR.REDDY
02-02-2021,61.389999,61.77,60.84,60.696133,391800,DR.REDDY
03-02-2021,63.5,63.68,62.299999,62.338718,430300,DR.REDDY
04-02-2021,63.689999,63.900002,62.810001,63.22472,341300,DR.REDDY
05-02-2021,64.669998,65.669998,64.230003,65.295372,398900,DR.REDDY
08-02-2021,65.970001,66.510002,65.669998,65.623894,195300,DR.REDDY
09-02-2021,65.699997,66.190002,65.589996,65.643806,217000,DR.REDDY
10-02-2021,65.879997,66.040001,65.370003,65.424797,215800,DR.REDDY
11-02-2021,65.830002,66.330002,65.720001,65.882729,126700,DR.REDDY
12-02-2021,65.5,66,65.150002,65.603989,135600,DR.REDDY
16-02-2021,65.029999,65.099998,63.970001,63.732426,146200,DR.REDDY
17-02-2021,63.09,63.299999,62.470001,62.368587,161000,DR.REDDY
18-02-2021,62.759998,63.07,62.360001,62.438271,389200,DR.REDDY
19-02-2021,63.57,63.900002,63.060001,62.965889,260600,DR.REDDY
22-02-2021,61.389999,61.57,60.77,60.845455,175600,DR.REDDY
23-02-2021,61.240002,61.490002,60.189999,60.845455,289400,DR.REDDY
24-02-2021,60.580002,61.119999,60.220001,60.725998,266000,DR.REDDY
25-02-2021,61.130001,61.830002,60.549999,60.337749,182200,DR.REDDY
26-02-2021,60.580002,61,59.490002,59.700623,310100,DR.REDDY
01-03-2021,60.639999,61.009998,60.150002,60.158558,251000,DR.REDDY
02-03-2021,60.259998,60.5,59.900002,60.16851,190200,DR.REDDY
03-03-2021,61.209999,61.860001,60.75,60.656311,297200,DR.REDDY
04-03-2021,61.869999,62.599998,61.130001,61.502491,410300,DR.REDDY
05-03-2021,60.990002,61.529999,60.299999,61.024647,263500,DR.REDDY
08-03-2021,61.169998,61.330002,60.490002,60.477119,83400,DR.REDDY
09-03-2021,60.759998,61.209999,60.650002,60.526894,182000,DR.REDDY
10-03-2021,61.299999,61.610001,60.950001,60.954964,136400,DR.REDDY
11-03-2021,61.380001,61.98,61.049999,61.323299,253400,DR.REDDY
12-03-2021,61.060001,61.060001,60.259998,60.656311,131500,DR.REDDY
15-03-2021,59.990002,60.470001,59.639999,59.96941,157500,DR.REDDY
16-03-2021,61,61.709999,61,61.38303,144200,DR.REDDY
17-03-2021,60.259998,60.259998,58.939999,59.471657,295900,DR.REDDY
